income,food,rent,travel,bills,others,total_expense,savings
58462,4245,14883,2686,8351,2341,32506,25956
54049,14402,18091,2082,9539,3135,47249,6800
77954,6342,22079,5952,4401,4423,43197,34757
61891,13019,16416,3551,5312,3433,41731,20160
38390,9756,16273,5928,4045,4431,40433,-2043
45967,7529,21675,6581,3672,5331,44788,1179
46651,8818,23758,5156,7713,1436,46881,-230
51113,7527,16078,5437,2115,4822,35979,15134
88284,9445,13210,2227,4248,4374,33504,54780
53967,9945,15435,4365,4073,2908,36726,17241
50249,9296,17560,6284,6716,1974,41830,8419
63597,14604,10795,1769,7438,4451,39057,24540
59340,7036,10652,4665,6465,2737,31555,27785
50065,3264,15909,7263,7350,3772,37558,12507
92905,14843,22147,2224,3946,5042,48202,44703
63692,11948,28340,4922,2690,2501,50401,13291
62204,10657,18190,5773,4396,2717,41733,20471
93750,14030,20069,6648,3755,6166,50668,43082
86954,14088,8082,3036,6761,5186,37153,49801
60517,6324,9277,6458,3968,3674,29701,30816
67408,12260,20704,2169,9151,6141,50425,16983
58409,6128,12556,2234,3544,4233,28695,29714
86370,4704,19571,3676,2139,4600,34690,51680
65694,6764,20854,2791,7229,4883,42521,23173
42032,5766,17506,5314,2309,2104,32999,9033
80084,10394,20535,2451,5574,4543,43497,36587
78180,5613,23582,4129,4426,3019,40769,37411
31712,14789,13189,2735,5889,4945,41547,-9835
44371,5268,15833,6354,7824,3942,39221,5150
73303,10159,17717,5878,7688,1061,42503,30800
76014,4709,29128,6017,3640,5203,48697,27317
42864,11053,21835,1597,9313,6644,50442,-7578
94625,4935,10710,6504,7860,3537,33546,61079
42734,10630,25265,2183,3971,3169,45218,-2484
30164,14801,22916,1941,9785,5175,54618,-24454
66223,3300,14186,1311,8504,4423,31724,34499
36760,9052,9531,2803,5449,1864,28699,8061
71804,14229,13693,6781,8616,3836,47155,24649
63701,14060,14463,4544,3205,3556,39828,23873
39317,13010,9162,3507,9486,1013,36178,3139
36842,11124,28623,6959,7576,3083,57365,-20523
41550,10427,10875,1579,4317,6941,34139,7411
38263,3060,10675,4665,7343,4458,30201,8062
48490,6171,20116,4507,9073,6323,46190,2300
67563,5604,15535,1119,3710,5478,31446,36117
82841,14363,17064,6455,5379,6186,49447,33394
33362,5544,18743,5637,9630,3814,43368,-10006
92251,11820,22530,1298,8752,4793,49193,43058
63563,6128,28726,6051,8044,4334,53283,10280
56225,12646,18098,5911,5832,1136,43623,12602
57963,5046,20838,3370,2782,4958,36994,20969
32695,3936,12274,3812,8478,4316,32816,-121
82206,4633,29395,1299,5383,2914,43624,38582
94569,9564,16957,3384,8455,4317,42677,51892
34427,8314,19807,2620,2152,4436,37329,-2902
98690,4674,20553,2166,7371,4278,39042,59648
40493,14244,14762,2917,3269,5101,40293,200
51187,12281,13065,6196,3653,4652,39847,11340
48724,4486,21415,3331,9490,1296,40018,8706
80363,3375,19519,3948,8365,5512,40719,39644
36566,9884,16075,1587,3904,2329,33779,2787
34356,6758,11617,4813,6104,2303,31595,2761
78235,10151,23272,4068,3008,2679,43178,35057
63762,8882,15024,4930,4853,4689,38378,25384
74780,4587,26615,7168,7077,1714,47161,27619
39471,12995,20958,1066,8839,2918,46776,-7305
59206,11531,9825,4537,3245,6775,35913,23293
48190,6477,25346,4900,2570,4973,44266,3924
32759,11305,24751,5442,5871,2908,50277,-17518
87635,4521,15732,1836,6669,4270,33028,54607
38781,4015,20548,7975,2603,3821,38962,-181
73305,8832,26703,1934,6033,1925,45427,27878
83321,12883,14353,4097,6723,4594,42650,40671
39333,6338,13245,3751,3784,4727,31845,7488
51492,9803,28043,2417,8443,6775,55481,-3989
38035,13453,29429,7184,8713,6264,65043,-27008
63543,8474,13915,7050,8537,5964,43940,19603
46406,3276,9111,3110,9827,6454,31778,14628
30672,3070,28341,6903,6271,6886,51471,-20799
38534,8323,23667,4387,4640,6205,47222,-8688
51124,10359,25277,7004,2987,5503,51130,-6
47533,3806,27559,1927,9503,3185,45980,1553
98762,3928,19894,2477,9680,3132,39111,59651
46281,3177,13186,1997,9836,5836,34032,12249
32479,13799,18500,1338,9759,2347,45743,-13264
53893,8470,24124,5481,9172,3444,50691,3202
45053,12883,14332,7758,5885,1893,42751,2302
86344,13598,29790,4258,4931,4464,57041,29303
77565,8803,23030,2345,4040,4867,43085,34480
97637,5686,10415,3667,5982,6710,32460,65177
56297,9750,29134,3839,3667,3526,49916,6381
36022,10629,9250,5165,9848,3332,38224,-2202
89160,4976,14482,2728,2692,1995,26873,62287
71286,5650,20807,1711,4152,4013,36333,34953
43088,11391,25489,6115,3714,1914,48623,-5535
57764,13454,28421,5549,8544,5933,61901,-4137
58264,12384,10079,6375,2514,2326,33678,24586
41377,14367,14293,1402,6384,6767,43213,-1836
78496,14175,20939,6202,5738,1759,48813,29683
60984,14733,25830,2383,3712,1316,47974,13010
53288,4806,16714,6284,8597,5426,41827,11461
31476,5576,26855,7976,4358,6304,51069,-19593
95315,9629,12975,3933,5745,4634,36916,58399
82708,3521,20181,6334,2971,3212,36219,46489
82736,10455,22815,4050,2680,6717,46717,36019
92056,6640,14257,3612,2232,4435,31176,60880
64870,9000,25865,5201,5000,4077,49143,15727
87797,7403,18244,1095,7041,2293,36076,51721
69935,12861,28811,6308,6453,1012,55445,14490
84938,11391,25472,1162,9852,3896,51773,33165
59590,9238,24157,6086,8964,4425,52870,6720
41479,6625,25360,3408,2747,3832,41972,-493
40176,4025,13593,3406,6293,3179,30496,9680
68237,9970,10155,1689,4561,5235,31610,36627
68862,14461,13181,2639,2996,4812,38089,30773
46867,8902,27255,6606,7210,1897,51870,-5003
47083,8778,24653,6171,5694,1338,46634,449
51130,9454,12143,1111,3398,6969,33075,18055
42242,9482,21735,6590,4252,2999,45058,-2816
57687,4921,25842,1182,8684,5137,45766,11921
